,CensusId,State,County,Unemployment,Latitude,Longitude
0,1001,Alabama,Autauga,7.6,32.5791817,-86.49965460000001
1,1003,Alabama,Baldwin,7.5,30.6010744,-87.77633329999999
2,1005,Alabama,Barbour,17.6,31.8172896,-85.35496499999999
3,1007,Alabama,Bibb,8.3,32.9562798,-87.14228949999999
4,1009,Alabama,Blount,7.7,34.0145152,-86.49965460000001
5,1011,Alabama,Bullock,18.0,32.0573536,-85.7256372
6,1013,Alabama,Butler,10.9,32.0895908,-88.2219652
7,1015,Alabama,Calhoun,12.3,33.7701576,-85.80766
8,1017,Alabama,Chambers,8.9,32.9028048,-85.35496499999999
9,1019,Alabama,Cherokee,7.9,34.7570342,-87.9728143
10,1021,Alabama,Chilton,9.1,32.944392,-86.6611083
11,1023,Alabama,Choctaw,13.6,32.0716631,-88.24611829999999
12,1025,Alabama,Clarke,19.4,31.7002461,-87.77633329999999
13,1027,Alabama,Clay,9.4,33.7026013,-86.5997096
14,1029,Alabama,Cleburne,8.3,33.6261707,-85.52002399999999
15,1031,Alabama,Coffee,7.1,31.4751172,-86.0121573
16,1033,Alabama,Colbert,9.0,34.7117567,-87.89424509999999
17,1035,Alabama,Conecuh,22.6,31.501571,-86.9824288
18,1037,Alabama,Coosa,17.0,32.8897772,-86.2196937
19,1039,Alabama,Covington,11.2,31.3066438,-86.49965460000001
20,1041,Alabama,Crenshaw,9.7,31.6671872,-86.3376761
21,1043,Alabama,Cullman,7.3,34.1748208,-86.8436124
22,1045,Alabama,Dale,10.9,31.4645298,-85.684578
23,1047,Alabama,Dallas,16.4,32.2332138,-87.14228949999999
24,1049,Alabama,DeKalb,7.7,34.5211397,-85.684578
25,1051,Alabama,Elmore,8.3,32.5387448,-86.3149712
26,1053,Alabama,Escambia,15.6,31.1394734,-87.14228949999999
27,1055,Alabama,Etowah,9.0,34.0455341,-86.05296039999999
28,1057,Alabama,Fayette,10.0,33.6845539,-87.8308522
29,1059,Alabama,Franklin,9.8,32.4784706,-85.8024562
30,1061,Alabama,Geneva,11.2,31.0329572,-85.8638242
